Description,Category
Keyboard problem,Network
Outlook password issue,Laptops/Desktop
please install Printer(Sanjay Dixit ),Other
printing issue in UK Gupta,Other
Please confirm issue resolved or not,Laptops/Desktop
"Dear Sir, Please find the below report..S.No L",Laptops/Desktop
WIFI issue in mobile,Laptops/Desktop
Printerissue,Laptops/Desktop
RE: Need VPN access ,Inquiry / Help
RE: Bangalore office scan is not working,Inquiry / Help
"Dear Sir,We have got the request for laptop chan",Laptops/Desktop
internet issue,Network
Dear TeamMy laptop not working… Please find atta,Laptops/Desktop
System is very slow and gets hang frequently .plea,Laptops/Desktop
Please help user to resolve the issue on priority.,Laptops/Desktop
password reset ,E-mail
outlook issue,Laptops/Desktop
My JIO Dongle is not working.Please change it on,Network
MS office activation issue ,Software
password reset ,E-mail
page got blocked so we are not able to use the pri,Printer
SirPlease Update Line In RFID  & Retrigger.Trip,Application
There is a communication error in printer. It is n,Printer
10.3.3.80 - HR Office10.3.3.83 - Power Plant Offi,Network
Account locked,Laptops/Desktop
Need VPN ID & Password and Dongle,Network
"Sir, Request you to create my RFID credentials for all plants",Other
VPN configure on System,Laptops/Desktop
Printernot connected.,Printer
VPN connection not connected,Laptops/Desktop
system slow working,Laptops/Desktop
VPN not working -13001135,Network
Account lock issue,Laptops/Desktop
Authentication issue over wifi.,Laptops/Desktop
REPLACEMENT OF TONER,Printer
outlook issue,Laptops/Desktop
Printernot working,Printer
Printertoner name of PrinterBrother   HL B20800W,Printer
printing issue,Other
outlook not responding,E-mail
outlook issue,Laptops/Desktop
Kindly add name of Ashok  Kumar Sharma Ji (GM- Leg,Laptops/Desktop
system slowness,Laptops/Desktop
"Packer flour LEDs are not working at Packer 4, 5, 6",Other
Please help to install the required software (WEAP) on my laptop.,Other
Need 1 number of cartidge for HP LaserJet 1020,Printer
Need 1 number of cartidge for HP LaserJet 1020,Printer
Teams Migration,Laptops/Desktop
folder sharing access ,Other
outlook issue,Laptops/Desktop
OUtlook  password issue,Laptops/Desktop
OUtlook password issue,Laptops/Desktop
Password issue,Laptops/Desktop
Please reset my vpn account as i have changed my m,Laptops/Desktop
Printernot connected,Printer
Account lockout lssue,Laptops/Desktop
Change IP phone names,Other Hardware
My pc run very slow,Network
Please help in t code YGSDBILL not proper RUN  in ,Datacenter
Pl provide PHYSICAL LAB data for preparing test ce,Laptops/Desktop
Sancho depot SAP installation,Laptops/Desktop
Printernot connected,Printer
"Dear Sir, I was received a laptop yesterday, but",Network
"PrinterNOT INSTALL AT MY LAPTOP,KINDLY ARRANGE TO",Printer
password reset,Network
Pulse Secure VPN ID For Mr. Abhinav Jain,Network
Please amend weight in slip serial number 650787 t,Laptops/Desktop
Printernot connected,Printer
Please find attached photo we are not able to sear,Network
Please have a look to download the required softwa,Security
An error is occurring repeatedly due to which I am,Network
kindly install vlc media player,Software
Gross weight is not happening for vehicle RJ09GD5177,Other
"My Laptop not working properly, it is very slow wo",Laptops/Desktop
Kindly provide access to internet service,Laptops/Desktop
Kindly provide the temporary access to internet.,Laptops/Desktop
Printeris working very poorly. Dull printing and ,Printer
opening error,Software
IP Phone Configuration,Network
"Dear Sir,In EHS Portal, if we raise a unsafe Act ",Application
Vehicle RJ27GD2595 stuck in TW tolerance ,Other
Please add the below members to Service Desk Portal (IT Care) in the following group.,Other
Please arrange to install updated software of vibr,Laptops/Desktop
Problem related to chrome Browser.,Laptops/Desktop
Printernot connected,Printer
INC0027032 raised on 7th July 2022. But without te,Printer
Need to check mousepad of sumnesh khandelwal 's si,Laptops/Desktop
Need to add scanner in sanjeev's sir macbook.,Laptops/Desktop
Need to add Printerin sanjeev's sir macbook.,Laptops/Desktop
account locked.,Laptops/Desktop
print is not proper kindly Resolved my problem urg,Printer
SAP Quality instance configure,Network
please reset my password,Other
sap was not working.,Laptops/Desktop
Printerinstallation,Laptops/Desktop
outlook issue,Laptops/Desktop
account lock,Laptops/Desktop
"Unable to Send Purchase order PDF through SAP , wh",Laptops/Desktop
"Dear sir,Please arrange to provide one toner cart",Printer
"Need to check following ports open or not. also, r",Laptops/Desktop
Password reset ,E-mail
Wifi issue in manohar's joshi laptop.,Laptops/Desktop
Please add Email ID of our new GET Mr Shubham Aror,Laptops/Desktop
SirPlease Add Transporter Name & Code In RFIDCod,Application
Create mail group for Mining Department,E-mail
please reset my password,Other
please reset my password,Other
please update firefox,Other
pc slow working,Other
system slow issue,Laptops/Desktop
RENAME IP PHONE _ JHARLI,Other Hardware
please update to window 11,Laptops/Desktop
Regarding outlook Password ,Inquiry / Help
Kindly give a go ahead to increase the mail box sp,Laptops/Desktop
"Printerconflagration error, unable to connect pri",Printer
O365 office required,Laptops/Desktop
Mouse required for daily work,Laptops/Desktop
password issue,Laptops/Desktop
Password issue,Laptops/Desktop
password issue,Laptops/Desktop
system slowness issue,Laptops/Desktop
wifi not working,Laptops/Desktop
Video not showing on display During zoom cl,Laptops/Desktop
"Saurabh Malhotra laptop connect with TV,",Laptops/Desktop
Printernot working,Laptops/Desktop
Meeting room setup for I.T review,Laptops/Desktop
outlook issue,Laptops/Desktop
password reset,E-mail
Vimal Joshi Meeting creation issue,Laptops/Desktop
Board room testing,Laptops/Desktop
Password reset ,E-mail
outlook issue,Laptops/Desktop
Printernot connected,Printer
vpn not working ,Network
Please amend truck number in slip serial number 65,Laptops/Desktop
configured new laptop and dispatched to kolkatta,Laptops/Desktop
Please amend truck number in slip serial number 65,Laptops/Desktop
"configured new laptop, Data backup & restoration h",Laptops/Desktop
system slowness issue,Laptops/Desktop
Need to check connectivity at DMD room((Barco/Mac ,Laptops/Desktop
Need to check connectivity at MD room((Barco/Mac M,Laptops/Desktop
please add mail id in printer,Other
Need to check VC board meeting room.,Laptops/Desktop
outlook issue,Laptops/Desktop
net not working,Other
lan cable issue,Other
lan cable issue,Other
outlook issue,Laptops/Desktop
outlook issue,Laptops/Desktop
outlook issue,Laptops/Desktop
system slow working,Other
"GST PORTAL ,AUTOTAX AND ASP GSP NOT WORKING",Laptops/Desktop
o365 installation,Laptops/Desktop
account lock,Laptops/Desktop
o365 installation required,Laptops/Desktop
Printernot connected,Printer
Scanner is not working  properly.,Printer
Talent Panna ID password expire,Laptops/Desktop
"Dear Team,Pls change the VPN password of the Dau",Network
Mr. Sandeep Ghosh  Airtel 7752900615,Laptops/Desktop
Fresh sim Card Airtel 9599819341,Laptops/Desktop
Fresh sim Card Airtel 9599819340,Laptops/Desktop
Fresh sim Card Airtel 9699819343,Laptops/Desktop
Fresh sim Card Airtel 9599819339,Laptops/Desktop
Printernot connected.,Printer
Please reset the vpn id.cfg.bathinda,Network
Need to configure iPad .,Laptops/Desktop
As account locked need to unlock.,Laptops/Desktop
Please provide VPN access,Laptops/Desktop
vpn not working at  Cfg Gulburga depot ,Network
Kindly help to reset password of VPN ID “ ” user  Forget Password   Token No -INC00270609 ( Urgent),Inquiry / Help
Kindly whitelist the below macAddress of iPAD. C,Laptops/Desktop
o365 office required,Laptops/Desktop
Due to Mobile Damage Kindly Reset  Passward for VP,Network
Printernot connected,Printer
Please issue Cartridge,Printer
Printernot connected,Printer
Password reset ,E-mail
Please change/replace  brother Printertonner at T,Printer
VPN installation at cfg.pali1 Depot ,Network
Adobe issue in Utkarshni issue,Laptops/Desktop
SAP installation at cfg.pali1 Depot ,SAP
Browser issue in Utkarshni system,Laptops/Desktop
outlook issue,Laptops/Desktop
kindly install teamsviewer and autodesk..,Software
please reset password,Other
system slow,Other
"Dear Sir,Please provide the detail attached form",Laptops/Desktop
"Dear Sir,Please find the below bank detail..Am",Laptops/Desktop
"Dear Sir,Please find the below bank detail..Am",Laptops/Desktop
camera issue,Laptops/Desktop
What issue are facing please let me know.Are you,Laptops/Desktop
"Dear Sir,Please do the needful.. Mail  looped t",Laptops/Desktop
Please share the error screenshot with Emp. Code …,Laptops/Desktop
"Dear Sir,As discussed, Please provide the keypad",Laptops/Desktop
Need to install SAP/office/ ADOBE and compliances ,Laptops/Desktop
Need to update patches and windows drivers in dell,Laptops/Desktop
Password reset ,E-mail
Need to configure new laptop.,Laptops/Desktop
Please check the issue and resolved .,Laptops/Desktop
NOT ABLE TO GET PRINT PRIVIEW OR PRINT IN QUALITY ,Printer
"Dear Sir,Hope you are well.This is to request ",Laptops/Desktop
Printernot working,Printer
Canon LBP2900 Printerplease arrange cartidge,Printer
Priority Request for VPN Access - BluePrint,Inquiry / Help
Toner required against empty toner.,Printer
Please add mac address of Mr.Sanjay Tondon LAPTOP,Other
Data card required,Laptops/Desktop
Please reset the mail password of  Gypsum.Tuticori,Laptops/Desktop
"Dear Team,Kindly arrange to install Printerin m",Network
SAP connectivity issue.,Network
Dear team touchpad out of actual area. please chec,Laptops/Desktop
VPN id required for dadri depot,Laptops/Desktop
Need to replace power cable as suggested by IT.,Laptops/Desktop
Need to check dell laptop charging cable working o,Laptops/Desktop
Password reset,Inquiry / Help
Global Protect VPN Activation,Network
Copy Data on desktop,Laptops/Desktop
Add PST in Outlook,Laptops/Desktop
pls reset the password.,Laptops/Desktop
Can't able to open mediclaim process,Inquiry / Help
Sap Configure,Laptops/Desktop
SAP software installation at ahmednagar Depot ,SAP
Install the team viewer application.,Software
vpn software installation at ahmednagar Depot ,Network
Need to Reinstall OS,Laptops/Desktop
Add Printer,Laptops/Desktop
"Need to install, SAP/MS office/ compliance softwar",Laptops/Desktop
install Basic Softwares,Laptops/Desktop
Need to update windows patches in new system.,Laptops/Desktop
outlook issue,Laptops/Desktop
Need to join domain,Laptops/Desktop
Outlook Not working,Laptops/Desktop
MS Office Installation,Laptops/Desktop
VPN Installation,Laptops/Desktop
SAP Installation,Laptops/Desktop
System Configure,Laptops/Desktop
outlook issue,Laptops/Desktop
Outlook issue,Laptops/Desktop
New Laptop configure & Data Backup,Laptops/Desktop
"cfg.Davangere  VPN password  expired, so kindly solve issue as soon as possible ",Network
vpn not working at cfg.davangere,Network
Change IP Phone Display Name,Other
Need to configure new laptop.,Laptops/Desktop
FUEL API  for LIVE source || online.omnicomm,Other
Dear team PC is very slow please check and resolve,Laptops/Desktop
Dear team please check my IP phone not working ple,Laptops/Desktop
"VPN not working, it showing Locked.",Network
Please Change Name in IP Phone.Change Name Surye,Laptops/Desktop
IN GST PORTAL AUTO DETAECTION OF LOCATION NOT WORK,Network
RE: Create VPN  ID  for New Depot 1392 Sawai Madhopur WH,Inquiry / Help
Outlook not working,Laptops/Desktop
Reset system password,Laptops/Desktop
we have been facing trouble(delay in opening/Closi,Laptops/Desktop
system issue,Other
inter net not working,Other
Email is not working properly. Emails are not comi,Network
Dear team  my pc is very slow please check and res,Laptops/Desktop
Password reset,Laptops/Desktop
Account lock,Laptops/Desktop
one drive configuration,Laptops/Desktop
system lagging.,Laptops/Desktop
Reset ims cell password,Laptops/Desktop
please issue laser jet cartage 1020,Printer
laptop is getting switched off automatically durin,Laptops/Desktop
Please update the Cost Center OR Vendor Code(for P,Network
outlook not working,Laptops/Desktop
pls reset mail pass,Laptops/Desktop
outlook not working,Laptops/Desktop
Tarun Jeph Scanners installation,Laptops/Desktop
mail not working,Laptops/Desktop
one drive issue,Other
"28 Project TV Installation, VC Installation Proble",Laptops/Desktop
"Demo Testing  G7500 Polycom, VU mini PC, BAMA, Min",Laptops/Desktop
"Billing  Local bill submitting , Payment followups",Laptops/Desktop
"ITSM Monitoring Tool ,Ticket login , Ticket closin",Laptops/Desktop
"on Myjkc Login id invalid showing ,please rectify.",Network
"33 Booster  Mobile Signal testing , installation B",Laptops/Desktop
"Daily Task  Checking MD, DMD Room, Board Room Serv",Laptops/Desktop
"35 Booster  Mobile  Signal testing , Cordinate wit",Laptops/Desktop
"36 Application  One Drive , Teams, Zoom Installati",Laptops/Desktop
"37 Server  Password Reset , Unlock user , Problem ",Laptops/Desktop
"Laptop is reserved for user , please share the use",Laptops/Desktop
New password – jkc@1234,Laptops/Desktop
13002422 Regular 22-06-1983 22-02-2016 04-07-2022 ,Laptops/Desktop
"As discussed, please send the mobile phone to Prim",Laptops/Desktop
"Dear Sir,Please dispatch the laptop for below us",Laptops/Desktop
"HI ,Please provide the quote for below item.De",Laptops/Desktop
System login issue,Laptops/Desktop
"Dear Sir,As discussed , please update the laptop",Laptops/Desktop
"Hi,Please provide the quote for below item..• ",Laptops/Desktop
System working very slow every time showing 100% disk utilization,Laptops/Desktop
Password reset,Laptops/Desktop
slow,Laptops/Desktop
kindly  configure CISCO  IP phone  MAC Address -  ,Network
Laptop working slow ,Software
Outlook not working and laptop working very very s,Network
VPN ACCOUNT RESET REQUIRED,Laptops/Desktop
 Gmail and hilman  are not working in our network except JK_MGMT_KNP SSID please look in to this issue ,Other
"Dear Sir,Kindly arrange to replace cartridge of ",Printer
Need to update macOS patches as same showing pendi,Laptops/Desktop
sap not working,Other
Mouse pad not working properly as it is sometimes ,Laptops/Desktop
Printernot work due to cartridge ink empty,Printer
mail issue,Laptops/Desktop
"Dear Mam,Laptop is reserved for user , please sh",Laptops/Desktop
Internet is not working properly on my Official nu,Laptops/Desktop
Please provide the detail in attached format with ,Laptops/Desktop
"Hi Team,Please share the daily report in below f",Laptops/Desktop
"Dear Team,Please let us know if any assets Lapto",Laptops/Desktop
"Hi Team ,As we have observed below is the penden",Laptops/Desktop
"Dear Sir,Please approve the below quote..DDR 4",Laptops/Desktop
"Hi OM,As we have checked , you are not updating ",Laptops/Desktop
internetnot working,Other
Microsoft teams is not working.,Network
Please provide appropriate VPN access to below Depot id:-   rid.bellary,Inquiry / Help
Need to change profile picture on teams and outloo,Laptops/Desktop
My VPN is not working emp code : 1000795,Laptops/Desktop
Not able to share photos and files directly on mai,Laptops/Desktop
Excel hangs too often and doesnt work properly.,Laptops/Desktop
Unable to take the print out on 5th Floor,Printer
password not working,Other
software install,Other
SirPlease Add Transporter Code & Name In RFIDCod,Application
System configuration for EHS Mechanical Supervisor,Laptops/Desktop
System configuration for EHS technician Electrical,Laptops/Desktop
System configuration for Weigh Bridge,Laptops/Desktop
Saksham Is Not Working,Inquiry / Help
Add Signature in outlook,Laptops/Desktop
Need Printer,Laptops/Desktop
Printernot connected,Printer
laptop working slow ,Other
please create sap connection,Laptops/Desktop
Need to check office 365 credentials as getting er,Laptops/Desktop
Password reset,Laptops/Desktop
please reset my password,Other
Desktop processing speed very slow,Laptops/Desktop
Update new photo in my outlook profile.,Laptops/Desktop
My Pc not connect in Printer. please check and re,Printer
Manak ji data transfer and printer,Laptops/Desktop
profile and data manage,Laptops/Desktop
Printerand PC slow,Laptops/Desktop
Adobe reader problem,Network
system slow working,Other
Printerissue,Other
Printernot working please check and resolve.,Printer
Kindly create group in outlook,E-mail
rid.ahmednagar rid.latur,Inquiry / Help
"Dear Team, Please reset the vpn cfg.reengus as m",Network
Laptop getting heat while charging.,Laptops/Desktop
Hilman webmail is blocked please check and resolve this issue ,Other
Need to ready laptop with softwares and drivers.,Laptops/Desktop
Sanjay Tewari Sir Adobe issue,Laptops/Desktop
MS office Installation.,Software
Outlook Configuration,Software
Domain join ,Laptops/Desktop
Google Chrome Browser Required,Software
Anti virus Installation,Antivirus
vpn nstallation,Network
SAP installation,SAP
FW: VPN connection failed,Inquiry / Help
Adobe Installation,Software
Ajai Sir word file issue in iPad,Laptops/Desktop
Garg Sir cable handover,Laptops/Desktop
"Dear Sir,Please dispatch the below laptop.S.No ",Laptops/Desktop
"Dear Sir,Please provide the WDV value for below ",Laptops/Desktop
"Sir,New Laptop request , 5 year complete in Sep ",Laptops/Desktop
"Hi Sir,Please dispatch the laptop for below user",Laptops/Desktop
"Dear Sir,Please allow me some time to check the ",Laptops/Desktop
My office desktop Printerconnection required.,Printer
"My office desktop not working properly , very slow",Laptops/Desktop
Password Reset,Laptops/Desktop
google meet not working,Laptops/Desktop
Please reset VPN id : Dewesh.jktech For Token,Laptops/Desktop
please data backup old laptop to new laptop,Laptops/Desktop
email not working,Laptops/Desktop
fan issue,Other
internet not working,Laptops/Desktop
vpn  not working ,Network
Need to reset password.,Laptops/Desktop
Outlook Mail is not getting connected.Please chec,Laptops/Desktop
"Hi ,Please check the below ticket number and con",Laptops/Desktop
"Hello Sir,Please share the error screenshot .",Laptops/Desktop
"Dear Mam,Please share Employee code for laptop a",Laptops/Desktop
Excel  Issue ,Software
Kindly help to get VPN Connectivity for New BO Sangrur Token No -INC0026469 ( Urgent),Inquiry / Help
pls reset vpn password,Network
Display problem in my laptop,Laptops/Desktop
pleae reset my vpn account,Laptops/Desktop
In Laptop sound not working,Laptops/Desktop
D drive to be created in Laptop.,Laptops/Desktop
outlook issue,Laptops/Desktop
 Please bind the below mentioned IP with below MAC Address,Other
Please install think cell ,Other
Please install think cell ,Other
Please installed thinkceel ,Other
please install team viewer,Other
"DEAR SIR,   vpn id will expire in 6 days.  PLEASE ARRANGE THE NEW PASSWORD.",E-mail
need to install chrome,Laptops/Desktop
Please configure the display name of this wireless ip phone ,Other
Printernot connected,Printer
Pulse Secure ID reset,Network
Plz rest my profile as i have change my handset. 9,Network
google crome not working system hanging issue,Laptops/Desktop
Kindly help to reset password of VPN ID “ cfg.chandigarh” user  Forget Password   Token No -INC0026819 ( Urgent),Inquiry / Help
word issue,Laptops/Desktop
virus prompt showing,Laptops/Desktop
cmos batter issue,Other
pc  shift ,Other
"Kindy Reset th Password VPN ID "" cfg.chandigarh"" ",Network
VPN Configuration hareesh.A@jktech.com,Laptops/Desktop
Password reset,Laptops/Desktop
password reset,Laptops/Desktop
password reset,Laptops/Desktop
unlock issue user,Other
inter net not working (Sanjay Dixit),Other
Printerissue,Other
lan cable connection required at whrs,Network
mouse issue,Other
"Kindly grant me entry access for Floor 4, 5 & 7, P",Other Hardware
Please help to configure IP phone as below:-   Digamber Singh (13002408)           MAC address  5CE17611979B     Subhadeep Das (13002394)           MAC address ,Inquiry / Help
Kindly provide the temporary internet services.,Laptops/Desktop
Need to update outlook patch.,Laptops/Desktop
Change profile image ,Other
Kindly reset my password to same as existing welco,E-mail
IP Phone MAC change- 14075,Other Hardware
To add Equipment Identification (232BC160 - Gypsum,Application
Access of Internet/Wifi. Current location is Nimba,Network
"To add ""Vinayak Minerals"" and ""Corrosion Protectio",Application
